 OTUID	ACK1	ACK2	ACK3	AP1	AP2	AP3	BCK1	BCK2	BCK3	BP1	BP2	BP3
Zotu707	1	0	0	0	0	0	0	1	1	2	8	0
Zotu379	1	0	0	0	0	0	3	4	0	0	0	5
Zotu309	2	0	0	38	1	10	0	0	0	8	5	2
Zotu867	1	0	2	1	0	5	0	5	0	0	0	1
Zotu189	3	4	1	23	46	11	0	0	0	4	0	1
Zotu458	5	1	4	0	0	0	0	0	0	0	0	0
Zotu263	3	6	1	0	0	0	8	0	0	6	0	4
Zotu107	5	16	21	8	9	26	18	0	7	17	25	32
Zotu344	3	7	2	0	0	0	0	0	0	1	0	1
Zotu854	2	0	0	0	0	0	0	1	0	0	5	0
Zotu125	5	11	3	52	46	132	0	2	0	29	1	3
Zotu492	2	0	0	0	1	2	0	0	1	1	2	3
Zotu362	1	2	0	0	0	0	0	0	28	1	0	0
Zotu273	3	0	0	0	3	0	0	0	0	30	11	5
Zotu966	2	1	0	0	2	0	0	0	0	1	0	0
Zotu58	1	7	0	1	4	3	3	117	7	44	146	158
Zotu46	2	223	2	4	6	23	10	10	0	58	16	16
Zotu683	2	0	1	1	2	4	0	1	0	0	0	1
Zotu373	1	0	0	0	0	0	0	13	1	2	0	6
Zotu476	1	0	0	4	0	0	0	3	0	7	1	1
Zotu139	1	17	31	35	54	26	0	1	0	0	4	0
Zotu339	2	13	5	3	0	0	0	0	1	0	0	0
Zotu836	2	0	0	0	0	0	3	3	3	0	0	0
Zotu69	3	12	1	14	13	4	5	80	3	140	114	115
Zotu50	5	66	7	59	168	128	49	117	14	88	45	85
Zotu708	2	0	0	1	0	2	3	3	0	1	0	2
Zotu409	2	4	0	0	0	0	0	0	0	0	0	0
Zotu112	2	15	33	26	121	85	0	0	0	1	0	0
Zotu245	1	0	0	1	0	0	16	1	0	23	4	9
Zotu305	1	5	1	3	4	3	2	0	0	1	0	7
Zotu895	1	0	0	3	2	6	0	0	0	0	0	0
Zotu47	1	6	3	10	48	19	3	124	1160	11	30	72
Zotu429	1	1	0	0	9	7	0	1	0	0	0	1
Zotu539	2	0	0	0	0	0	0	2	4	0	5	3
Zotu310	1	0	0	0	0	0	1	1	3	0	7	35
Zotu671	1	0	0	0	0	0	0	3	2	1	0	3
Zotu345	1	0	0	0	4	0	1	18	8	6	0	9
Zotu960	2	0	0	0	2	0	0	1	2	0	0	0
Zotu109	2	117	2	0	3	2	2	0	0	1	0	0
Zotu71	1	2	0	0	0	0	2	1	13	53	478	224
Zotu138	1	4	2	6	53	31	0	8	1	18	44	50
Zotu446	2	0	0	0	0	0	8	1	7	1	0	0
Zotu341	1	0	6	6	0	5	0	0	0	2	0	1
Zotu522	1	0	11	0	18	7	0	0	0	0	0	1
Zotu360	1	1	0	0	2	0	0	4	5	8	4	1
Zotu234	1	3	18	4	22	12	1	0	16	0	0	0
Zotu119	1	66	1	0	0	0	2	2	0	10	0	0
Zotu442	2	1	0	0	0	1	5	1	5	9	0	0
Zotu882	3	0	0	0	5	2	0	0	0	0	0	0
Zotu140	1	6	0	118	17	92	19	3	2	5	0	1
Zotu718	1	2	0	3	1	1	1	2	0	0	0	0
Zotu61	1	6	0	0	3	2	18	263	284	25	46	71
Zotu266	1	2	1	2	15	25	0	7	1	0	0	3
Zotu537	0	2	0	0	1	1	4	0	0	1	0	0
Zotu945	1	0	0	0	0	0	4	2	0	0	0	0
Zotu361	4	2	0	0	0	0	4	0	0	3	0	1
Zotu463	1	2	0	5	5	1	3	2	3	5	0	1
Zotu621	1	0	0	1	2	3	0	0	0	0	0	0
Zotu798	1	0	0	0	0	3	4	0	1	0	0	0
Zotu181	2	8	4	4	17	15	0	3	22	2	11	5
Zotu186	1	3	1	14	50	55	0	2	1	1	1	4
Zotu251	1	0	0	1	4	1	0	6	39	7	1	22
Zotu593	1	1	0	6	1	0	0	2	2	1	0	0
Zotu457	1	0	0	0	0	0	0	0	5	0	7	0
Zotu274	1	3	1	5	18	4	1	3	4	5	0	3
Zotu946	1	0	0	0	0	2	0	0	0	2	0	0
Zotu183	1	1	0	6	53	56	3	0	0	5	0	0
Zotu383	1	6	3	0	7	6	0	0	0	0	0	1
Zotu498	1	0	0	22	2	10	0	0	0	0	0	0
Zotu382	1	3	0	0	2	0	0	0	0	0	0	0
Zotu940	1	1	0	1	1	0	0	0	0	0	0	1
Zotu228	1	17	0	0	0	0	0	6	2	3	0	3
Zotu875	1	0	0	0	0	0	0	4	0	3	0	2
Zotu614	1	0	0	0	0	6	0	0	0	0	0	0
Zotu677	1	5	0	0	0	0	0	0	0	0	0	0
Zotu993	1	0	0	0	0	0	0	5	0	3	0	0
Zotu330	0	1	0	4	1	4	1	3	0	2	0	7
Zotu535	0	1	0	1	0	4	2	3	0	2	0	0
