Metabolin1	Metabolin2	Metabolin3	Metabolin4	Metabolin5	Metabolin6	Metabolin7	Metabolin8	Metabolin9	Metabolin10	Metabolin11	Metabolin12	Metabolin13
1.155157	0.693984	0.74969	0.48619	0.744277	62.889869	0.399259	1.01999	0.834781	0.27263	-0.173599	1.67792	4.568242
1.166623	0.776941	0.780311	0.578261	0.859282	62.14503	0.546318	1.040431	0.764685	0.356197	-0.197169	1.646101	6.495021
1.182347	0.71508	0.579257	0.654836	0.835481	79.830138	0.372983	1.106289	0.834114	0.271282	-0.202099	1.768109	4.64465
1.200177	0.74092	0.681345	0.494925	0.765414	61.175147	0.260089	1.048732	0.878901	0.320541	-0.128787	1.711369	4.001982
1.1266	0.712767	0.756374	0.611938	0.787862	81.987433	0.488915	0.94072	0.701332	0.278747	-0.188069	1.805867	5.174186
1.170439	0.805861	0.647045	0.672562	0.749965	76.362988	0.4333	1.221137	0.85345	0.379412	-0.24236	1.710808	3.462849
1.000052	0.388463	0.454485	0.512577	0.619879	50.819285	0.249895	1.11935	0.984877	0.206486	-0.348195	1.589463	2.358879
0.838862	0.350665	0.390869	0.440562	0.870969	35.791131	0.174962	0.937225	0.893921	0.259366	-0.360433	1.415512	1.66124
1.245581	0.870438	0.674159	0.842391	1.063016	62.025056	0.381906	1.329841	0.967383	0.278427	-0.194755	1.666606	4.862304
1.10043	0.725388	0.675001	0.455426	0.502918	65.545079	0.451822	0.871395	0.67598	0.115237	-0.161869	1.66498	5.501143
1.114918	0.695128	0.744563	0.45647	0.577751	74.292006	0.438593	0.926083	0.731742	0.089649	-0.162626	1.727783	7.059585
1.200178	0.755269	0.668949	0.570489	0.774121	65.622947	0.300764	1.099635	0.841999	0.348632	-0.129383	1.676514	3.376595
1.075815	0.633416	0.649539	0.53997	0.778231	55.24781	0.430585	0.893711	0.798686	0.288297	-0.050936	1.628062	4.154758
1.172573	0.823015	0.60479	0.727702	0.895498	47.679975	0.504253	1.36405	1.111402	0.117327	-0.264183	1.635057	5.010647
